Año,Mes,Nacionalidad ,Femenino,Masculino,Total
2016,Septiembre,Guinea Bissau,2,0,2
2016,Septiembre,Iraq,0,2,2
2016,Septiembre,Kirguistán,0,2,2
2016,Septiembre,República de Moldavia,2,0,2
2016,Septiembre,Montenegro,0,2,2
2016,Septiembre,Myanmar,1,1,2
2016,Septiembre,República Democrática Popular de Corea,2,0,2
2016,Septiembre,Islas Vírgenes Británicas/Territorio Británico de Ultramar,1,1,2
2016,Septiembre,República Árabe de Yemen,0,2,2
2016,Septiembre,Anguila/Territorio Británico de Ultramar,1,1,2
2016,Septiembre,República de Armenia,1,0,1
2016,Septiembre,Botsuana,0,1,1
2016,Septiembre,Bután,0,1,1
2016,Septiembre,República Del Congo,0,1,1
2016,Septiembre,Guinea Ecuatorial,0,1,1
2016,Septiembre,Libia,0,1,1
2016,Septiembre,Madagascar,0,1,1
2016,Septiembre,Malí,0,1,1
2016,Septiembre,Namibia,0,1,1
2016,Septiembre,Nepal,0,1,1
2016,Septiembre,Omán,0,1,1
2016,Septiembre,Qatar,0,1,1
2016,Septiembre,Samoa Estadounidense/Territorio no incorporado de Estados Unidos,0,1,1
2016,Septiembre,San Marino,0,1,1
2016,Septiembre,Togo,0,1,1
2016,Septiembre,Zambia,0,1,1
2016,Septiembre,S/E,74,159,233
